"TOA5","1","CR1000X","5122","CR1000X.Std.03.02","CPU:TDG_191227_Enc.CR1X","49734","FWS2"
"TIMESTAMP","RECORD","FWS_Data(1)","FWS_Data(2)","FWS_Data(3)","FWS_Data(4)","FWS_Data(5)","FWS_Data(6)","FWS_Data(7)","FWS_Data(8)","FWS_Data(9)","FWS_Data(10)","FWS_Data(11)","FWS_Data(12)","FWS_Data(13)","FWS_Data(14)","FWS_Data(15)"
"TS","RN","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-09-21 07:02:00",2542,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.2C","Ua=095.1P","Pa=000984.6H","T=200921070145","La=29.0147730","N","Lo=105.8498730","E  ",""
"2020-09-21 08:02:00",2543,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.5C","Ua=095.3P","Pa=000984.9H","T=200921080144","La=29.0147630","N","Lo=105.8498650","E  ",""
"2020-09-21 09:02:00",2544,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.8C","Ua=095.5P","Pa=000985.2H","T=200921090145","La=29.0147710","N","Lo=105.8498400","E  ",""
"2020-09-21 10:02:00",2545,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.2C","Ua=098.7P","Pa=000985.2H","T=200921100144","La=29.0147490","N","Lo=105.8498250","E  ",""
"2020-09-21 11:02:00",2546,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.0C","Ua=095.8P","Pa=000985.3H","T=200921110144","La=29.0147610","N","Lo=105.8498150","E  ",""
"2020-09-21 12:02:00",2547,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.8C","Ua=096.0P","Pa=000985.1H","T=200921120145","La=29.0147750","N","Lo=105.8498360","E  ",""
"2020-09-21 13:02:00",2548,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.3C","Ua=099.0P","Pa=000985.1H","T=200921130145","La=29.0147960","N","Lo=105.8498570","E  ",""
"2020-09-21 14:02:00",2549,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.0C","Ua=096.3P","Pa=000984.8H","T=200921140144","La=29.0148090","N","Lo=105.8498660","E  ",""
"2020-09-21 15:02:00",2550,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.3C","Ua=097.3P","Pa=000984.5H","T=200921150144","La=29.0147760","N","Lo=105.8498870","E  ",""
"2020-09-21 16:02:00",2551,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.7C","Ua=093.5P","Pa=000984.6H","T=200921160144","La=29.0147410","N","Lo=105.8498510","E  ",""
"2020-09-21 17:02:00",2552,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.0C","Ua=098.6P","Pa=000985.0H","T=200921170144","La=29.0147740","N","Lo=105.8498490","E  ",""
"2020-09-21 18:02:00",2553,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.7C","Ua=097.0P","Pa=000985.5H","T=200921180144","La=29.0147860","N","Lo=105.8498480","E  ",""
"2020-09-21 19:02:00",2554,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.5C","Ua=097.1P","Pa=000986.1H","T=200921190144","La=29.0147770","N","Lo=105.8498290","E  ",""
"2020-09-21 20:02:00",2555,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.3C","Ua=097.3P","Pa=000986.9H","T=200921200144","La=29.0147970","N","Lo=105.8498140","E  ",""
"2020-09-21 21:02:00",2556,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.2C","Ua=098.3P","Pa=000987.9H","T=200921210144","La=29.0147890","N","Lo=105.8498460","E  ",""
"2020-09-21 22:02:00",2557,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.2C","Ua=097.6P","Pa=000988.5H","T=200921220144","La=29.0147590","N","Lo=105.8498640","E  ",""
"2020-09-21 23:02:00",2558,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.2C","Ua=097.8P","Pa=000988.8H","T=200921230144","La=29.0147650","N","Lo=105.8498420","E  ",""
"2020-09-22 00:02:00",2559,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.0C","Ua=094.0P","Pa=000988.9H","T=200922000144","La=29.0147750","N","Lo=105.8498590","E  ",""
"2020-09-22 01:02:00",2560,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=019.8C","Ua=094.9P","Pa=000988.7H","T=200922010144","La=29.0147820","N","Lo=105.8498570","E  ",""
"2020-09-22 02:02:00",2561,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=019.7C","Ua=094.3P","Pa=000988.5H","T=200922020144","La=29.0147740","N","Lo=105.8498710","E  ",""
"2020-09-22 03:02:00",2562,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=019.7C","Ua=094.5P","Pa=000988.3H","T=200922030145","La=29.0147470","N","Lo=105.8498540","E  ",""
"2020-09-22 04:02:00",2563,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=019.7C","Ua=094.6P","Pa=000988.3H","T=200922040145","La=29.0147510","N","Lo=105.8498630","E  ",""
"2020-09-22 05:02:00",2564,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=019.7C","Ua=094.8P","Pa=000988.4H","T=200922050142","La=29.0147760","N","Lo=105.8498690","E  ",""
"2020-09-22 06:02:00",2565,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=019.4C","Ua=095.0P","Pa=000988.7H","T=200922060144","La=29.0147700","N","Lo=105.8498560","E  ",""
"2020-09-22 07:02:00",2566,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=019.0C","Ua=095.1P","Pa=000989.6H","T=200922070144","La=29.0147750","N","Lo=105.8498570","E  ",""
